Ag volume	Ag dilution	Ab volume	Ab dilution	Count	Known?	
1	10000	1	10000	23061	0	
1	10000	1	10000	22789	0	
1	10000	1	10000	25482	0	
1	10000	1	10000	19749	0	
1	10000	1	10000	24537	0	
1	10000	1	10000	23408	0	
1	10000	1	10000	20564	0	
1	10000	1	10000	18989	0	
1	10000	1	10000	22127	0	
1	10000	1	10000	19011	0	
1	10000	1	10000	20596	0	
1	10000	1	10000	19337	0	
1	10000	1	10000	19022	0	
1	10000	1	10000	19402	0	
1	10000	1	10000	20455	0	
1	10000	1	10000	23169	0	
1	10000	1	10000	22724	0	
1	10000	1	10000	19966	0	
1	10000	1	10000	20835	0	
