1	2	3	4	5	6	ki
0.149249	0.190425	0.234428	0.266388	0.0381859	0.121325	2.70396e-09
0.148924	0.189411	0.234845	0.266887	0.0382742	0.121658	2.93765e-09
0.148602	0.188408	0.235259	0.267382	0.0383617	0.121988	3.19154e-09
0.148282	0.187414	0.235668	0.267872	0.0384484	0.122316	3.46737e-09
0.147965	0.18643	0.236074	0.268357	0.0385343	0.12264	3.76704e-09
0.14765	0.185455	0.236475	0.268837	0.0386194	0.122963	4.09261e-09
0.147338	0.18449	0.236873	0.269313	0.0387037	0.123282	4.44631e-09
0.147028	0.183534	0.237266	0.269785	0.0387872	0.123599	4.83059e-09
0.146721	0.182588	0.237656	0.270251	0.03887	0.123913	5.24807e-09
0.146416	0.18165	0.238043	0.270714	0.038952	0.124225	5.70164e-09
0.146114	0.180722	0.238425	0.271171	0.0390332	0.124534	6.19441e-09
0.145814	0.179803	0.238804	0.271625	0.0391137	0.124841	6.72977e-09
0.145516	0.178893	0.239179	0.272074	0.0391934	0.125145	7.31139e-09
0.145221	0.177991	0.23955	0.272518	0.0392724	0.125446	7.94328e-09
0.144929	0.177099	0.239918	0.272959	0.0393507	0.125745	8.62979e-09
0.144638	0.176215	0.240282	0.273395	0.0394282	0.126042	9.37562e-09
0.14435	0.175339	0.240643	0.273827	0.039505	0.126336	1.01859e-08
0.144065	0.174472	0.241	0.274254	0.0395811	0.126627	1.10662e-08
0.143782	0.173614	0.241354	0.274678	0.0396565	0.126916	1.20226e-08
0.143501	0.172764	0.241704	0.275097	0.0397312	0.127203	1.30617e-08
0.143222	0.171922	0.242051	0.275513	0.0398052	0.127487	1.41906e-08
0.142946	0.171088	0.242395	0.275924	0.0398785	0.127769	1.5417e-08
0.142672	0.170263	0.242735	0.276331	0.0399511	0.128049	1.67494e-08
0.1424	0.169445	0.243072	0.276735	0.040023	0.128326	1.8197e-08
0.14213	0.168635	0.243405	0.277134	0.0400942	0.128601	1.97697e-08
0.141863	0.167834	0.243736	0.27753	0.0401648	0.128873	2.14783e-08
0.141598	0.16704	0.244063	0.277921	0.0402347	0.129143	2.33346e-08
0.141335	0.166254	0.244387	0.278309	0.040304	0.129411	2.53513e-08
0.141075	0.165475	0.244707	0.278693	0.0403726	0.129677	2.75423e-08
0.140816	0.164704	0.245025	0.279074	0.0404406	0.12994	2.99226e-08
